gene,number,cluster
SLC35E2,9906,1
NCAPD2,9918,1
RNF10,9921,1
ZBTB40,9923,1
PAN2,9924,1
ZBTB5,9925,1
MAGEC1,9947,1
THRAP3,9967,1
MED12,9968,1
RBX1,9978,1
FGFBP1,9982,1
RCE1,9986,1
SCO2,9997,1
SRA1,10011,1
HDAC6,10013,1
HDAC5,10014,1
BCL2L10,10017,1
FRAT1,10023,1
UBA2,10054,1
ABCC5,10057,1
USH1C,10083,1
UST,10090,1
CTDSP2,10106,1
BCAP31,10134,1
RBM12,10137,1
PDZK1IP1,10158,1
WASF2,10163,1
SLC25A13,10165,1
SERF2,10169,1
RBM5,10181,1
RNF41,10193,1
MPHOSPH9,10198,1
DHRS2,10202,1
MPZL2,10205,1
PRG4,10216,1
KCNMB2,10242,1
HRSP12,10247,1
POP7,10248,1
SRRM1,10250,1
CDK2AP2,10263,1
AKAP8,10270,1
STAG1,10274,1
UBE4B,10277,1
EFS,10278,1
SAP18,10284,1
SPEG,10290,1
SF3A1,10291,1
PAK4,10298,1
CACNG2,10369,1
SCML2,10389,1
CORO2B,10391,1
WFDC2,10406,1
SPAG11B,10407,1
ATP5H,10476,1
C1orf61,10485,1
VAT1,10493,1
CARM1,10498,1
NCOA2,10499,1
SEMA6C,10500,1
SEMA4F,10505,1
CHERP,10523,1
IPO7,10527,1
SSSCA1,10534,1
DCTN2,10540,1
HBXIP,10542,1
PRDX4,10549,1
AGPAT2,10555,1
MTHFS,10588,1
SCGN,10590,1
C6orf108,10591,1
TRIM16,10626,1
MYL12A,10627,1
ATP5L,10632,1
RASL10A,10633,1
LEFTY1,10637,1
IGF2BP1,10642,1
IGF2BP3,10643,1
IGF2BP2,10644,1
CAMKK2,10645,1
SCGB1D1,10648,1
PMVK,10654,1
KHDRBS1,10657,1
CELF1,10658,1
CTCF,10664,1
DCTN6,10671,1
GMEB1,10691,1
STAG3,10734,1
RFPL1S,10740,1
MASP2,10747,1
PLAC1,10761,1
KDM5B,10765,1
HBS1L,10767,1
ZNF266,10781,1
IQGAP2,10788,1
ZNF268,10795,1
CPLX2,10814,1
FRS2,10818,1
NEU3,10825,1
SMR3B,10879,1
NPFFR2,10886,1
PROKR1,10887,1
LYVE1,10894,1
YIF1A,10897,1
JTB,10899,1
PNPLA6,10908,1
UTS2,10911,1
SEC61B,10952,1
LMAN2,10960,1
RAB40B,10966,1
CKAP4,10970,1
ASCC3,10973,1
UQCR11,10975,1
MAPRE2,10982,1
KCNQ1OT1,10984,1
GCN1L1,10985,1
CCDC85B,11007,1
KLK11,11012,1
ATF7,11016,1
RAB35,11021,1
STON1,11037,1
UPK1A,11045,1
CPSF6,11052,1
CEP110,11064,1
TOPBP1,11073,1
PTPN21,11099,1
ATE1,11101,1
KATNA1,11104,1
PRDM4,11108,1
CIT,11113,1
CAPN11,11131,1
SLC7A9,11136,1
PWP1,11137,1
HHLA2,11148,1
FICD,11153,1
WDHD1,11169,1
